Package,Requirement Version,Installed Version,Latest Version
click,7.1.2,7.1.2,8.1.7
cycler,0.10.0,0.10.0,0.11.0
flask,1.1.2,1.1.2,2.2.5
gunicorn,20.0.4,20.0.4,21.2.0
itsdangerous,1.1.0,1.1.0,2.1.2
jinja2,2.11.3,2.11.3,3.1.3
joblib,1.0.1,1.0.1,1.3.2
kiwisolver,1.3.1,1.3.1,1.4.5
markupsafe,1.1.1,1.1.1,2.1.5
matplotlib,3.3.4,3.3.4,3.5.3
numpy,1.20.1,1.20.1,1.21.6
pandas,1.2.2,1.2.2,1.3.5
pillow,8.1.0,8.1.0,9.5.0
pyparsing,2.4.7,2.4.7,3.1.2
python-dateutil,2.8.1,2.8.1,2.9.0.post0
pytz,2021.1,2021.1,2024.1
scikit-learn,0.24.1,0.24.1,1.0.2
scipy,1.6.1,1.6.1,1.7.3
seaborn,0.11.1,0.11.1,0.12.2
six,1.15.0,1.15.0,1.16.0
sklearn,0.24.1,0.0,0.0.post12
threadpoolctl,2.1.0,2.1.0,3.1.0
werkzeug,1.0.1,1.0.1,2.2.3
